Índice TEF Inverso X5,"17,50",2021-10-24 17:44:47.489710
Índice SAN Inverso X5,"3.361,20",2021-10-24 17:44:47.489710
Índice BBVA Inverso X5,"7.455,90",2021-10-24 17:44:47.489710
Índice ITX Inverso X5,"1.033,00",2021-10-24 17:44:47.489710
IBEX 35®,"8.906,40",2021-10-24 17:45:03.833637
IBEX 35® con Dividendos,"27.318,50",2021-10-24 17:45:03.833637
IBEX MEDIUM CAP®,"13.741,50",2021-10-24 17:45:03.833637
IBEX SMALL CAP®,"8.195,10",2021-10-24 17:45:03.833637
IBEX 35® Bancos,"504,00",2021-10-24 17:45:03.833637
IBEX 35® Energía,"1.293,20",2021-10-24 17:45:03.833637
IBEX 35® Construcción,"1.557,20",2021-10-24 17:45:03.833637
IBEX TOP Dividendo®,"2.521,30",2021-10-24 17:45:03.833637
IBEX 35® con Dividendos Netos,"22.859,10",2021-10-24 17:45:03.833637
IBEX 35® Inverso,"2.168,20",2021-10-24 17:45:03.833637
IBEX 35® Doble Inverso,"234,90",2021-10-24 17:45:03.833637
IBEX 35® Inverso X3,"9.499,20",2021-10-24 17:45:03.833637
IBEX 35® Inverso X5,"995,00",2021-10-24 17:45:03.833637
IBEX 35® Inverso X10,"22,50",2021-10-24 17:45:03.833637
IBEX 35® Doble Apalancado,"4.176,60",2021-10-24 17:45:03.833637
IBEX 35® Doble Apalancado Bruto,"19.706,90",2021-10-24 17:45:03.833637
IBEX 35® Doble Apalancado Neto,"16.381,40",2021-10-24 17:45:03.833637
IBEX 35® Apalancado X3,"583,30",2021-10-24 17:45:03.833637
IBEX 35® Apalancado Neto X3,"6.931,90",2021-10-24 17:45:03.833637
IBEX 35® Apalancado Neto X5,"387,70",2021-10-24 17:45:03.833637
IBEX 35® Apalancado Neto X10,"362,70",2021-10-24 17:45:03.833637
IBEX 35® Capped Net Return,"22.921,60",2021-10-24 17:45:03.833637
IBEX 35® Impacto Div,"189,70",2021-10-24 17:45:03.833637
IBEX 35® Volatilidad Objetivo 10% Estándar,"182,10",2021-10-24 17:45:03.833637
IBEX 35® Volatilidad Objetivo 12% Estándar,"188,90",2021-10-24 17:45:03.833637
IBEX 35® Volatilidad Objetivo 15% Estándar,"194,60",2021-10-24 17:45:03.833637
IBEX 35® Volatilidad Objetivo 18% Estándar,"194,30",2021-10-24 17:45:03.833637
